Country,Year,Month,Average Surface Temperature
Angola,2029,3,22.23994330284495
Angola,2029,4,23.243377606356262
Angola,2029,5,24.182938012597333
Angola,2029,6,24.906567494542287
Angola,2029,7,25.278970968521207
Angola,2029,8,25.20411628407328
Angola,2029,9,24.647735213865417
Angola,2029,10,23.65982444360725
Angola,2029,11,22.39714656191154
Angola,2029,12,21.14573105022737
Angola,2030,1,20.641338932154213
Angola,2030,2,21.368954244969245
Angola,2030,3,22.29524096250043
Angola,2030,4,23.302507436369524
Angola,2030,5,24.244752444731603
Angola,2030,6,24.970166182200956
Angola,2030,7,25.343631249747887
Angola,2030,8,25.26922364460279
Angola,2030,9,24.712713750112925
Angola,2030,10,23.724067325697433
Angola,2030,11,22.459946496725934
Angola,2030,12,21.206210744364398
Angola,2031,1,20.685163282350004
Angola,2031,2,21.42010270476476
Angola,2031,3,22.351829227068265
Angola,2031,4,23.36304001391636
Angola,2031,5,24.308053119530996
Angola,2031,6,25.03530847761158
Angola,2031,7,25.409868891220867
Angola,2031,8,25.335921022689035
Angola,2031,9,24.779276383521392
Angola,2031,10,23.78987232426607
Angola,2031,11,22.524273024461763
Angola,2031,12,21.268170482465393
Angola,2032,1,20.729975961025957
Angola,2032,2,21.472417134286843
Angola,2032,3,22.409727366536572
Angola,2032,4,23.424995152913652
Angola,2032,5,24.372860341130036
Angola,2032,6,25.102015121397017
Angola,2032,7,25.477705016340224
Angola,2032,8,25.404229870812742
Angola,2032,9,24.847444841911965
Angola,2032,10,23.857261388781808
Angola,2032,11,22.590148262553157
Angola,2032,12,21.331632496251586
Angola,2033,1,20.775795037196986
